id,name,genreisnongame,genreisindie,genreisaction,genreisadventure,genreiscasual,genreisstrategy,genreisrpg,genreissimulation,genreisearlyaccess,genreisfreetoplay,genreissports,genreisracing,genreismassivelymultiplayer
169,Condemned: Criminal Origins,false,false,true,false,false,false,false,false,false,false,false,false,false
170,Rome: Total War,false,false,false,false,false,true,false,false,false,false,false,false,false
171,Rome: Total War - Alexander,false,false,false,false,false,true,false,false,false,false,false,false,false
172,Medieval II: Total War Kingdoms,false,false,false,false,false,true,false,false,false,false,false,false,false
173,Heroes of Annihilated Empires,false,false,false,false,false,true,false,false,false,false,false,false,false
174,Cossacks: Back to War,false,false,false,false,false,true,false,false,false,false,false,false,false
175,Cossacks: Art of War,false,false,false,false,false,true,false,false,false,false,false,false,false
176,Cossacks: European Wars,false,false,false,false,false,true,false,false,false,false,false,false,false
177,Cossacks II: Battle for Europe,false,false,false,false,false,true,false,false,false,false,false,false,false
178,Zen of Sudoku,false,true,false,false,true,false,false,false,false,false,false,false,false
179,Natural Selection 2,false,true,true,false,false,true,false,false,false,false,false,false,false
180,Natural Selection 2 - Deluxe DLC,false,true,true,false,false,true,false,false,false,false,false,false,false
181,STAR WARS™ Republic Commando,false,false,true,false,false,false,false,false,false,false,false,false,false
182,Indiana Jones and the Fate of Atlantis,false,false,false,true,false,false,false,false,false,false,false,false,false
183,STAR WARS™ Jedi Knight: Jedi Academy™,false,false,true,false,false,false,false,false,false,false,false,false,false
184,STAR WARS™ Jedi Knight II: Jedi Outcast™,false,false,true,false,false,false,false,false,false,false,false,false,false
185,The Dig,false,false,false,true,false,false,false,false,false,false,false,false,false
186,STAR WARS™ Battlefront™ II,false,false,true,false,false,false,false,false,false,false,false,false,false
187,Thrillville: Off the Rails,false,false,false,false,false,true,false,false,false,false,false,false,false
188,Armed and Dangerous,false,false,true,false,false,false,false,false,false,false,false,false,false
189,Shank,false,true,true,false,false,false,false,false,false,false,false,false,false
190,Shank pre-order,false,true,true,false,false,false,false,false,false,false,false,false,false
191,Ghost Master,false,false,false,false,false,true,false,false,false,false,false,false,false
192,Vegas: Make It Big,false,false,false,false,false,true,false,false,false,false,false,false,false
193,FlatOut,false,false,false,false,false,false,false,false,false,false,false,true,false
194,Making History: The Calm & The Storm,false,false,true,false,false,true,false,false,false,false,false,false,false
195,Ducati World Championship,false,false,false,false,false,false,false,false,false,false,false,true,false
196,Dreamfall: The Longest Journey,false,false,false,true,false,false,true,false,false,false,false,false,false
197,The Longest Journey,false,false,true,true,false,false,true,false,false,false,false,false,false
198,Bloodline Champions,false,false,true,false,false,false,false,false,false,true,false,false,true
199,Joint Task Force,false,false,true,false,false,true,false,false,false,false,false,false,false
200,Nexus: The Jupiter Incident,false,true,false,false,false,true,false,true,false,false,false,false,false
201,Lost Planet: Extreme Condition,false,false,true,true,false,false,false,false,false,false,false,false,false
202,Devil May Cry 3: Special Edition,false,false,true,false,false,false,false,false,false,false,false,false,false
203,Bullet Candy,false,true,false,false,true,false,false,false,false,false,false,false,false
204,Commandos: Behind Enemy Lines,false,false,true,false,false,false,false,false,false,false,false,false,false
205,Commandos: Beyond the Call of Duty,false,false,true,false,false,false,false,false,false,false,false,false,false
206,Commandos 2: Men of Courage,false,false,true,false,false,false,false,false,false,false,false,false,false
207,Commandos 3: Destination Berlin,false,false,true,false,false,false,false,false,false,false,false,false,false
208,Hitman 2: Silent Assassin,false,false,true,false,false,false,false,false,false,false,false,false,false
209,Hitman: Blood Money,false,false,true,false,false,false,false,false,false,false,false,false,false
210,Battlestations: Midway,false,false,true,false,false,false,false,false,false,false,false,false,false
211,Just Cause,false,false,true,false,false,false,false,false,false,false,false,false,false
212,Hitman: Codename 47,false,false,true,false,false,false,false,false,false,false,false,false,false
213,Deus Ex: Game of the Year Edition,false,false,true,false,false,false,false,false,false,false,false,false,false
214,Deus Ex: Invisible War,false,false,true,false,false,false,false,false,false,false,false,false,false
215,Thief: Deadly Shadows,false,false,true,false,false,false,false,false,false,false,false,false,false
216,Tomb Raider: Legend,false,false,true,true,false,false,false,false,false,false,false,false,false
217,Project: Snowblind,false,false,true,false,false,false,false,false,false,false,false,false,false
218,Rogue Trooper,false,false,true,false,false,false,false,false,false,false,false,false,false
219,Jade Empire: Special Edition,false,false,false,false,false,false,true,false,false,false,false,false,false
220,TrackMania United,false,false,false,false,false,false,false,false,false,false,false,true,false
221,Runaway: A Road Adventure,false,false,false,true,false,false,false,false,false,false,false,false,false
222,Runaway: The Dream of the Turtle,false,false,false,true,false,false,false,false,false,false,false,false,false
223,Loki,false,false,false,false,false,false,true,false,false,false,false,false,false
224,Azada,false,true,false,false,true,false,false,false,false,false,false,false,false
225,X-Blades,false,false,true,true,false,false,true,false,false,false,false,false,false
226,Two Worlds II,false,false,false,false,false,false,true,false,false,false,false,false,false
227,Two Worlds II Castle Defense,false,false,false,false,false,true,false,false,false,false,false,false,false
228,Sid Meier's Railroads!,false,false,false,false,false,true,false,false,false,false,false,false,false
