"name","Price"
"Majesty: Gold Edition",9.99
"The Maw",9.99
"Drug Wars",4.99
"Cogs",9.99
"Braid",14.99
"Crayon Physics Deluxe",19.99
"The Path",9.99
"The Graveyard",4.99
"FATALE",6.99
"Summer Athletics",19.99
"Blacklight: Tango Down",0.99
"Dangerous High School Girls in Trouble!",19.99
"MEVO & the Grooveriders",9.99
"Space Giraffe",9.99
"GridRunner Revolution",9.99
"Twin Sector",4.99
"Booster Trooper",4.99
"Dead Horde",9.99
"Kane & Lynch 2: Dog Days",9.99
"Yumsters! 2: Around the World!",4.99
"Musaic Box",4.99
"Blueberry Garden",4.99
"Osmos",9.99
"Guild Wars: Game of the Year Edition",19.99
"Guild Wars: Factions",19.99
"Guild Wars: Trilogy",29.99
"Guild Wars: Nightfall",19.99
"Guild Wars: Eye of the North",19.99
"Caster",1.99
"Dark Sector",9.99
"Tales of Monkey Island: Chapter 1 - Launch of the Screaming Narwhal",19.99
"Tales of Monkey Island: Chapter 2 - The Siege of Spinner Cay",0.0
"Tales of Monkey Island: Chapter 3 - Lair of the Leviathan",0.0
"Tales of Monkey Island: Chapter 4 - The Trial and Execution of Guybrush Threepwood",0.0
"Tales of Monkey Island: Chapter 5 - Rise of the Pirate God",0.0
"Sam & Max 301: The Penal Zone",0.0
"Sam & Max 302: The Tomb of Sammun-Mak",0.0
"Sam & Max 303: They Stole Max's Brain!",0.0
"Sam & Max 304: Beyond the Alley of the Dolls",0.0
"Sam & Max 305: The City that Dares not Sleep",0.0
"Puzzle Agent",4.99
"Poker Night at the Inventory",4.99
"Back to the Future: Ep 1 - It's About Time",19.99
"Tunnel Rats 1968",19.99
"Iron Grip: Warlord",0.0
"Nancy Drew: Danger By Design",6.99
"Nancy Drew: Last Train to Blue Moon Canyon",6.99
"Nancy Drew: The Haunted Carousel",6.99
"Nancy Drew: Curse of Blackmoor Manor",6.99
"Nancy Drew: Danger on Deception Island",6.99
"Nancy Drew: Ghost Dogs of Moon Lake",6.99
"Nancy Drew: Legend of the Crystal Skull",6.99
"Nancy Drew: Lights, Camera, Curses!",6.99
"Nancy Drew: Secret of the Old Clock",6.99
"Nancy Drew: Secret of the Scarlet Hand",6.99
"Nancy Drew: The Creature of Kapu Cave",6.99
"Nancy Drew: The Haunting of Castle Malloy",6.99
"Nancy Drew: The Phantom of Venice",6.99
"Nancy Drew: The White Wolf of Icicle Creek",6.99
"Nancy Drew: Ransom of the Seven Ships",6.99
"Raycatcher",4.99
"Luxor Mahjong",9.99
"Chainz 2: Relinked",9.99
"Midnight Mysteries: The Edgar Allan Poe Conspiracy",9.99
"Everyday Genius: SquareLogic",4.99
"Zombie Bowl-O-Rama",9.99
"Metal Drift",9.99
"Indiana Jones and the Last Crusade",5.99
"LEGOⓇ Indiana Jones™: The Original Adventures",19.99
"Loom",5.99
"STAR WARS™ Starfighter™",5.99
"The Secret of Monkey Island: Special Edition",9.99
"STAR WARS™: Knights of the Old Republic™",9.99
"STAR WARS™ Jedi Knight: Dark Forces II",5.99
