"Genre","name"
"Free to Play","Realities"
"Free to Play","RuneScape: Idle Adventures"
"Free to Play","Destinations"
"Free to Play","Shadowverse"
"Free to Play","Midnight Animal"
"Free to Play","Black Rose"
"Free to Play","LuckCatchers"
"Free to Play","Age of Cavemen"
"Free to Play","Jackpot Poker by PokerStars"
"Free to Play","High Octane Drift"
"Free to Play","Surgeon Simulator VR: Meet The Medic"
"Free to Play","Cabals: Magic & Battle Cards"
"Free to Play","Plastic Playground"
"Free to Play","Palinurus"
"Free to Play","Winning Putt"
"Free to Play","Intruder Alert: Ixian Operations"
"Free to Play","Allods Online My.com"
"Free to Play","Crush Crush"
"Free to Play","SurrealVR"
"Free to Play","Mandagon"
"Free to Play","Ghoul Kid"
"Free to Play","Legionwood: Tale of the Two Swords"
"Free to Play","Forge of Gods (RPG)"
"Free to Play","Skyreach"
"Free to Play","AdVenture Communist"
"Free to Play","Wander No More"
"Free to Play","Clover Tale"
"Free to Play","One Tower"
"Free to Play","One Thousand Lies"
"Free to Play","Maui"
"Free to Play","ChuSingura46+1 S"
"Free to Play","Twisted Worlds"
