id,name,controllersupport,isfree,categorysingleplayer,categorymultiplayer,categorycoop,categorymmo,categoryinapppurchase,categoryincludesrcsdk,categoryincludeleveleditor,categoryvrsupport
1426,Tobe's Vertical Adventure,false,false,true,true,false,false,false,false,false,false
1427,PixelJunk Eden,true,false,true,false,false,false,false,false,false,false
1428,Bastion,true,false,true,false,false,false,false,false,false,false
1429,Space Pirates and Zombies,false,false,true,false,false,false,false,false,false,false
1430,Breath of Death VII,true,true,true,false,false,false,false,false,false,false
1431,Cthulhu Saves the World,true,true,true,false,false,false,false,false,false,false
1432,Arma 3,false,false,true,true,true,false,false,false,true,false
1433,Waves,true,false,true,false,false,false,false,false,false,false
1434,Rochard,false,false,true,false,false,false,false,false,false,false
1435,War Inc. Battlezone,false,true,false,true,true,true,false,false,false,false
1436,Starpoint Gemini,false,false,true,false,false,false,false,false,false,false
1437,Ticket to Ride,false,false,true,true,false,false,false,false,false,false
1438,Memoir '44 Online,false,true,true,true,false,false,false,false,false,false
1439,Vessel,true,false,true,false,false,false,false,false,false,false
1440,Project Zomboid,false,false,true,true,true,false,false,false,false,false
1441,Death Rally,false,false,true,true,true,false,false,false,false,false
1442,Alan Wake,true,false,true,false,false,false,false,false,false,false
1443,Crysis 2 Maximum Edition,false,false,true,false,false,false,false,false,false,false
1444,Legend of Fae,false,false,true,false,false,false,false,false,false,false
1445,MicroVolts Surge,false,true,true,true,false,false,false,false,false,false
1446,Fowl Space,false,false,true,false,false,false,false,false,false,false
1447,Neverwinter,false,true,false,true,true,true,false,false,true,false
1448,Achron,false,false,true,true,false,false,false,false,false,false
1449,inMomentum,false,false,true,true,false,false,false,false,false,false
1450,Data Jammers: FastForward,false,true,true,false,false,false,false,false,false,false
1451,Astro Tripper,false,false,true,false,false,false,false,false,false,false
1452,Alien Zombie Megadeath,false,false,true,true,false,false,false,false,false,false
1453,Mutant Storm Reloaded,true,false,true,true,true,false,false,false,false,false
1454,L.A. Noire,false,false,true,false,false,false,false,false,false,false
1455,The Clockwork Man,false,false,true,false,false,false,false,false,false,false
1456,The Clockwork Man: The Hidden World,false,false,true,false,false,false,false,false,false,false
1457,Snuggle Truck,false,false,true,false,false,false,false,false,true,false
1458,Smash Cars,false,false,true,false,false,false,false,false,false,false
1459,Bunch Of Heroes,false,false,true,true,true,false,false,false,false,false
1460,Serious Sam Double D XXL,false,false,true,false,false,false,false,false,false,false
1461,Blocks That Matter,true,false,true,false,false,false,false,false,true,false
1462,Guardians of Middle-earth,true,false,true,true,false,false,false,false,false,false
1463,Avadon: The Black Fortress,false,false,true,false,false,false,false,false,false,false
1464,Monaco,true,false,true,true,true,false,false,false,true,false
1465,The Binding of Isaac,false,false,true,false,false,false,false,false,false,false
1466,APB Reloaded,false,true,false,true,false,true,false,false,false,false
1467,Fallen Earth,false,true,false,true,true,true,false,false,false,false
1468,Costume Quest,false,false,true,false,false,false,false,false,false,false
1469,Stacking,false,false,true,false,false,false,false,false,false,false
1470,Iron Brigade,true,false,true,true,true,false,false,false,false,false
1471,Cossacks II: Napoleonic Wars,false,false,true,false,false,false,false,false,false,false
1472,American Conquest,false,false,true,false,false,false,false,false,false,false
1473,American Conquest - Fight Back,false,false,true,false,false,false,false,false,false,false
1474,Call of Duty: Modern Warfare 3,false,false,true,true,true,false,false,false,false,false
1475,PROTOTYPE 2,false,false,true,false,false,false,false,false,false,false
1476,Owlboy,true,false,true,false,false,false,false,false,false,false
1477,Super Toy Cars,false,false,true,true,false,false,false,false,true,false
1478,Lightfish,true,false,true,false,false,false,false,false,false,false
1479,Quantum Conundrum,true,false,true,false,false,false,false,false,false,false
1480,Global Ops: Commando Libya,false,false,true,true,false,false,false,false,false,false
1481,Naval War: Arctic Circle,false,false,true,true,false,false,false,false,true,false
1482,Nancy Drew: Shadow at the Water's Edge,false,false,true,false,false,false,false,false,false,false
1483,Puzzler World 2,false,false,true,false,false,false,false,false,false,false
1484,Battle Chess: Game of Kings™,false,false,true,true,false,false,false,false,false,false
1485,Worms Revolution,false,false,true,true,true,false,false,false,false,false
1486,Sideway,false,false,true,true,false,false,false,false,false,false
1487,Realm of the Mad God,false,true,false,true,true,true,false,false,false,false
1488,Off-Road Drive,false,false,true,true,false,false,false,false,false,false
1489,Batman: Arkham City GOTY,false,false,true,false,false,false,false,false,false,false
1490,A Game of Dwarves,false,false,true,false,false,false,false,false,false,false
1491,Oil Rush,false,false,true,true,false,false,false,false,false,false
1492,SOL: Exodus,false,false,true,false,false,false,false,false,false,false
1493,Memento Mori,false,false,true,false,false,false,false,false,false,false
1494,XCOM: Enemy Unknown,true,false,true,true,false,false,false,false,false,false
1495,DUNGEONS - The Dark Lord (Steam Special Edition),false,false,true,true,false,false,false,false,false,false
1496,Gettysburg: Armored Warfare,false,false,false,true,false,false,false,false,false,false
1497,Disciples III: Resurrection,false,false,true,false,false,false,false,false,false,false
1498,Torchlight II,false,false,true,true,true,false,false,false,false,false
1499,Cave Story+,false,false,true,false,false,false,false,false,false,false
1500,Before the Echo,true,false,true,false,false,false,false,false,false,false
